id;name;message;hasAvatar;hasDrawing
0;AlchemyParadox;"Your are like a ball of sunshine, from anything you say or do to your general sense of goofiness never fails to put a smile on my face. \nI look forward to what else you feel like doing into the future because I'm sure all the lucky charms will have fun enjoying whatever will come. ";true;false
1;SleepingSlime;Happy Valentines Mitty! another year without a valentine but who needs one when you're with DA BOIS!;true;false
2;Nutman;I’m glad you’ve became an integral part of my routine. Blue thing love 💙 (Bingo is the real oshi tho);false;false
